,threshold_list,含负例准确率,coverage_list,正例准确率
84,0.85,0.8387834003085303,0.15746471898984898,0.16436865021770683
85,0.86,0.8435596465105486,0.15237947904782162,0.16751269035532995
86,0.87,0.8479734375920941,0.14788109786046877,0.17164873123422347
87,0.88,0.8535932569008908,0.14215235888627012,0.1777434312210201
88,0.89,0.8590095307768904,0.13637749192220935,0.18268514379377143
89,0.90,0.8646635212316861,0.1300389040642331,0.18714194780394652
90,0.91,0.8715363642127957,0.12237651385454315,0.19378238341968912
91,0.92,0.8791617154585719,0.11420546613373664,0.20128641695043512
92,0.93,0.8884380889036693,0.10346968185345305,0.2116991643454039
93,0.94,0.8986460259835148,0.09142178688037994,0.2202797202797203
94,0.95,0.911385517942895,0.07595864972914153,0.23232637807536594
95,0.96,0.9282197204008412,0.05495484349870098,0.2444844664565511
96,0.97,0.9511696213154306,0.02514948075107521,0.28154327424400416
97,0.98,0.9645433529231541,0.006489708380915244,0.22317596566523606
98,0.99,0.9689885209447683,0.001562593905883767,0.21153846153846154
